"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2004","811.7","685.0","811.7","668.3","1.30B","20.56%"
"Apr 01, 2004","833.3","831.7","960.0","806.7","1.68B","2.66%"
"May 01, 2004","783.3","840.0","843.3","551.7","1.67B","-6.00%"
"Jun 01, 2004","800.0","776.7","816.7","721.7","1.59B","2.13%"
"Jul 01, 2004","653.3","811.7","815.0","633.3","967.88M","-18.34%"
"Aug 01, 2004","780.0","648.3","788.3","593.3","1.32B","19.39%"
"Sep 01, 2004","851.7","793.3","860.0","761.7","1.39B","9.19%"
"Oct 01, 2004","800.0","843.3","905.0","780.0","1.22B","-6.07%"
"Nov 01, 2004","846.7","791.7","880.0","776.7","811.94M","5.84%"
"Dec 01, 2004","831.7","830.0","850.0","791.7","549.81M","-1.77%"
"Jan 01, 2005","816.7","826.7","856.7","805.0","472.11M","-1.80%"
"Feb 01, 2005","755.0","820.0","826.7","731.7","414.76M","-7.55%"
"Mar 01, 2005","736.7","755.0","766.7","711.7","364.94M","-2.42%"
"Apr 01, 2005","703.3","721.7","755.0","676.7","483.67M","-4.53%"
"May 01, 2005","651.7","695.0","701.7","615.0","376.09M","-7.34%"
"Jun 01, 2005","725.0","648.3","728.3","646.7","523.15M","11.25%"
"Jul 01, 2005","768.3","720.0","775.0","713.3","400.69M","5.97%"
"Aug 01, 2005","935.0","765.0","946.7","711.7","1.17B","21.70%"
"Sep 01, 2005","1,050.0","951.7","1,135.0","910.0","884.20M","12.30%"
"Oct 01, 2005","1,091.7","1,076.7","1,156.7","1,025.0","868.62M","3.97%"
"Nov 01, 2005","1,606.7","1,105.0","1,710.0","1,098.3","1.93B","47.17%"
"Dec 01, 2005","2,490.0","1,605.0","2,610.0","1,558.3","2.19B","54.98%"
"Jan 01, 2006","1,975.0","2,595.0","2,595.0","1,670.0","1.65B","-20.68%"
"Feb 01, 2006","1,800.0","1,970.0","2,215.0","1,635.0","1.69B","-8.86%"
"Mar 01, 2006","1,725.0","1,750.0","1,775.0","1,480.0","1.30B","-4.17%"
"Apr 01, 2006","1,465.0","1,745.0","1,795.0","1,452.5","849.92M","-15.07%"
"May 01, 2006","1,360.0","1,465.0","1,575.0","1,350.0","1.16B","-7.17%"
"Jun 01, 2006","1,282.5","1,365.0","1,372.5","1,080.0","1.76B","-5.70%"
"Jul 01, 2006","1,052.5","1,280.0","1,382.5","947.0","1.69B","-17.93%"
"Aug 01, 2006","1,020.0","1,040.0","1,240.0","997.5","1.65B","-3.09%"
"Sep 01, 2006","1,222.5","1,025.0","1,230.0","1,010.0","1.66B","19.85%"
"Oct 01, 2006","1,280.0","1,217.5","1,395.0","1,180.0","1.88B","4.70%"
"Nov 01, 2006","1,212.5","1,255.0","1,267.5","1,057.5","1.23B","-5.27%"
"Dec 01, 2006","1,157.5","1,217.5","1,282.5","1,152.5","722.97M","-4.54%"
"Jan 01, 2007","1,412.5","1,192.5","1,460.0","1,180.0","1.16B","22.03%"
"Feb 01, 2007","1,497.5","1,407.5","1,580.0","1,392.5","1.14B","6.02%"
"Mar 01, 2007","1,515.0","1,495.0","1,595.0","1,275.0","1.24B","1.17%"
"Apr 01, 2007","1,297.5","1,515.0","1,525.0","1,247.5","643.53M","-14.36%"
"May 01, 2007","1,342.5","1,312.5","1,380.0","1,197.5","645.35M","3.47%"
"Jun 01, 2007","1,330.0","1,347.5","1,437.5","1,312.5","597.62M","-0.93%"
"Jul 01, 2007","1,257.5","1,335.0","1,430.0","1,232.5","489.76M","-5.45%"
"Aug 01, 2007","1,112.5","1,245.0","1,342.5","1,057.5","599.66M","-11.53%"
"Sep 01, 2007","1,060.0","1,105.0","1,112.5","975.5","422.55M","-4.72%"
"Oct 01, 2007","1,335.0","1,062.5","1,385.0","1,057.5","964.83M","25.94%"
"Nov 01, 2007","1,272.5","1,355.0","1,442.5","1,135.0","932.43M","-4.68%"
"Dec 01, 2007","1,155.0","1,282.5","1,340.0","1,110.0","427.02M","-9.23%"
"Jan 01, 2008","970.0","1,125.0","1,132.5","925.5","494.49M","-16.02%"
"Feb 01, 2008","1,037.5","960.0","1,165.0","950.5","565.15M","6.96%"
"Mar 01, 2008","903.5","1,000.0","1,047.5","826.5","449.49M","-12.92%"
"Apr 01, 2008","1,050.0","900.5","1,072.5","887.5","394.47M","16.21%"
"May 01, 2008","930.5","1,052.5","1,070.0","912.0","390.30M","-11.38%"
"Jun 01, 2008","895.0","930.5","995.5","895.0","478.43M","-3.82%"
"Jul 01, 2008","994.0","900.0","1,012.5","893.5","431.89M","11.06%"
"Aug 01, 2008","908.0","989.5","1,030.0","887.5","358.26M","-8.65%"
"Sep 01, 2008","671.5","902.0","918.5","671.5","415.28M","-26.05%"
"Oct 01, 2008","475.0","681.5","693.0","318.0","882.14M","-29.26%"
"Nov 01, 2008","651.0","525.0","722.5","513.0","1.46B","37.05%"
"Dec 01, 2008","801.5","652.5","836.0","614.5","711.42M","23.12%"
"Jan 01, 2009","707.0","816.5","827.0","625.5","523.58M","-11.79%"
"Feb 01, 2009","600.0","702.0","752.0","551.5","454.22M","-15.13%"
"Mar 01, 2009","628.0","590.0","709.5","562.5","467.63M","4.67%"
"Apr 01, 2009","775.0","638.0","797.5","636.0","362.18M","23.41%"
"May 01, 2009","867.5","800.0","926.0","796.5","365.11M","11.94%"
"Jun 01, 2009","941.0","870.0","984.0","850.0","416.52M","8.47%"
"Jul 01, 2009","1,007.5","940.0","1,042.5","831.0","350.74M","7.07%"
"Aug 01, 2009","1,042.5","1,000.0","1,075.0","978.5","325.90M","3.47%"
"Sep 01, 2009","986.5","1,042.5","1,062.5","951.5","186.35M","-5.37%"
"Oct 01, 2009","1,087.5","983.5","1,135.0","945.0","311.19M","10.24%"
"Nov 01, 2009","1,035.0","1,067.5","1,140.0","1,005.0","249.11M","-4.83%"
"Dec 01, 2009","1,085.0","1,015.0","1,112.5","1,012.5","195.55M","4.83%"
"Jan 01, 2010","1,150.5","1,085.0","1,242.5","1,075.0","304.14M","6.04%"
"Feb 01, 2010","1,163.5","1,150.5","1,225.0","1,115.0","198.20M","1.13%"
"Mar 01, 2010","1,151.5","1,151.0","1,174.5","1,077.5","235.15M","-1.03%"
"Apr 01, 2010","1,055.0","1,167.0","1,181.0","1,035.5","312.12M","-8.38%"
"May 01, 2010","1,090.5","1,025.0","1,143.5","998.5","277.99M","3.36%"
"Jun 01, 2010","1,185.5","1,092.0","1,260.5","1,080.5","358.57M","8.71%"
"Jul 01, 2010","1,292.5","1,150.0","1,314.5","1,126.0","357.34M","9.03%"
"Aug 01, 2010","1,205.5","1,289.5","1,312.5","1,188.0","269.04M","-6.73%"
"Sep 01, 2010","1,365.5","1,200.0","1,381.5","1,188.5","308.19M","13.27%"
"Oct 01, 2010","1,295.0","1,375.0","1,400.0","1,295.0","268.63M","-5.16%"
"Nov 01, 2010","1,450.0","1,287.0","1,490.0","1,253.5","345.77M","11.97%"
"Dec 01, 2010","1,405.5","1,452.5","1,542.5","1,402.5","320.25M","-3.07%"
"Jan 01, 2011","1,411.5","1,429.5","1,463.5","1,345.0","238.57M","0.43%"
"Feb 01, 2011","1,677.5","1,412.5","1,715.0","1,401.0","428.40M","18.85%"
"Mar 01, 2011","1,660.0","1,692.5","1,757.5","1,382.5","545.65M","-1.04%"
"Apr 01, 2011","1,695.0","1,655.0","1,735.0","1,592.5","317.10M","2.11%"
"May 01, 2011","1,572.5","1,697.5","1,697.5","1,437.5","394.69M","-7.23%"
"Jun 01, 2011","1,515.0","1,560.0","1,580.0","1,406.5","323.10M","-3.66%"
"Jul 01, 2011","1,505.0","1,530.0","1,602.5","1,492.5","199.99M","-0.66%"
"Aug 01, 2011","1,263.5","1,515.0","1,527.5","1,229.5","332.70M","-16.05%"
"Sep 01, 2011","1,146.0","1,277.5","1,395.5","1,056.0","407.25M","-9.30%"
"Oct 01, 2011","1,294.0","1,140.0","1,331.5","1,128.5","329.36M","12.91%"
"Nov 01, 2011","1,273.5","1,281.0","1,350.0","1,235.5","212.64M","-1.58%"
"Dec 01, 2011","1,133.5","1,249.0","1,255.0","1,121.5","221.25M","-10.99%"
"Jan 01, 2012","1,061.5","1,158.5","1,173.5","1,025.0","230.65M","-6.35%"
"Feb 01, 2012","1,210.5","1,064.5","1,257.5","1,058.5","356.57M","14.04%"
"Mar 01, 2012","1,223.5","1,235.5","1,251.0","1,163.0","284.78M","1.07%"
"Apr 01, 2012","1,198.0","1,239.5","1,239.5","1,117.0","208.55M","-2.08%"
"May 01, 2012","1,225.0","1,202.5","1,225.0","1,124.5","241.99M","2.25%"
